commodity_year,state_code,state_abbr,county_code,commodity_code,cause_of_loss_code,month_of_loss,year_of_loss,indemnity_amount,total_premium,liability_amount,net_determined_acres,net_planted_acres,determined_yield,indemnity_to_premium_ratio,indemnity_to_liability_ratio,yield_deviation,high_cause_code,county_claim_frequency,fraud_label
2019,1,AL,1,11,31,11,2018.0,390.54,467.0,19976.0,0.0,390.54,14.97,0.8344871794871795,0.0195494819041898,4.039314479216036,0,1,1
2019,1,AL,1,21,01,10,2019.0,493.456,16834.68,263716.61,0.0,493.456,0.97,0.0293101318152875,0.0018711530109801,0.2617324679251539,0,60,0
2019,1,AL,1,21,01,10,2019.0,18.915,1222.065,20529.795,0.0,44.46,6.28,0.0154652451014459,0.0009212989560316,1.6945153593504811,0,60,0
2019,1,AL,1,21,01,11,2019.0,159.2,7690.6,84255.0,0.0,159.2,0.84,0.020697904207187,0.0018894796809722,0.2266549206774528,0,60,0
2019,1,AL,1,21,01,10,2019.0,547.549,15170.135,226412.465,0.0,522.004,1.65,0.0360914987573441,0.0024183588197813,0.4452150227592824,0,60,0
2019,1,AL,1,21,01,12,2019.0,209.781,2904.66,65665.71,0.0,209.781,1.6,0.0721973665191385,0.0031946324096334,0.4317236584332436,0,60,0
2019,1,AL,1,21,11,6,2019.0,15.035,971.385,16318.555,0.0,35.34,6.28,0.0154619826509047,0.0009212873757893,1.6945153593504811,0,60,0
2019,1,AL,1,21,11,7,2019.0,14.55,940.05,15792.15,0.0,34.2,6.28,0.0154614526326975,0.0009212854940274,1.6945153593504811,0,60,0
2019,1,AL,1,21,11,8,2019.0,369.022,17578.9,188038.6,0.0,369.022,1.15,0.0209911319177014,0.0019624696074656,0.3103013794988938,0,60,0
2019,1,AL,1,21,11,7,2019.0,23.4,736.48,10767.48,0.0,23.4,4.82,0.0317296740250583,0.0021730086326018,1.3005675210301464,0,60,0
2019,1,AL,1,21,11,9,2019.0,2.119,29.34,663.29,0.0,2.119,1.6,0.0698417930125247,0.0031898718932996,0.4317236584332436,0,60,0
2019,1,AL,1,21,11,9,2019.0,577.122,28735.4,303101.6,0.0,577.122,1.63,0.0200833089739842,0.0019040483321489,0.4398184770288668,0,60,0
2019,1,AL,1,21,11,7,2019.0,53.85,940.05,15792.15,0.0,34.2,3.95,0.0572233143828702,0.0034097061067614,1.0658177817570702,0,60,0
2019,1,AL,1,21,11,6,2019.0,364.85,17119.0,141384.0,0.0,364.85,2.59,0.0213113317757009,0.0025805424903631,0.698852672088813,0,60,0
2019,1,AL,1,21,11,6,2019.0,86.201,1745.315,27634.885,0.0,65.896,3.12,0.0493616558295611,0.0031191691527157,0.841861133944825,0,60,0
2019,1,AL,1,21,12,9,2019.0,298.89,15332.5,158228.0,0.0,298.89,3.32,0.0194926142107151,0.0018889710482907,0.8958265912489803,0,60,0
2019,1,AL,1,21,93,7,2019.0,11.13,370.44,5849.71,0.0,11.13,1.41,0.029964462631919,0.0019023332210962,0.3804564739942959,0,60,1
2019,1,AL,1,34,42,3,2019.0,34.4,20884.985,49446.43,0.0,25.958,1.45,0.0016470374751298,0.0006956883300102,0.3912495654551269,0,4,0
2019,1,AL,1,34,42,3,2019.0,50.1,15830.075,38609.28,0.0,30.069,3.74,0.0031646619070404,0.001297581887518,1.0091540515877069,0,4,0
2019,1,AL,1,41,11,6,2019.0,111.02,6265.0,25293.0,0.0,111.02,2.73,0.0177178423236514,0.0043891832055032,0.7366284922017219,0,14,0
2019,1,AL,1,75,11,8,2019.0,38.5,2306.0,15829.5,0.0,38.5,2.09,0.0166883398352839,0.0024320141499005,0.5639390288284244,0,6,0
2019,1,AL,1,75,11,9,2019.0,38.5,2306.0,15829.5,0.0,38.5,2.09,0.0166883398352839,0.0024320141499005,0.5639390288284244,0,6,0
2019,1,AL,1,75,11,6,2019.0,143.3,10225.0,74657.0,0.0,143.3,4.86,0.0140132994328183,0.0019194192183021,1.3113606124909774,0,6,0
2019,1,AL,1,81,11,8,2019.0,20.15,624.5,6280.5,0.0,20.15,6.91,0.0322142286171063,0.0032078325240786,1.864506549858571,0,17,0
2019,1,AL,1,81,11,9,2019.0,105.7,2553.0,22460.0,0.0,105.7,6.32,0.0413860610806577,0.004705934731312,1.705308450811312,0,17,0
2019,1,AL,1,81,12,9,2019.0,85.55,1928.5,16179.5,0.0,85.55,6.13,0.0443379113760041,0.0052872284540032,1.6540412663723645,0,17,0
2019,1,AL,1,9999,55,11,2019.0,0.0,140.0,1221.0,0.0,24.58,3.64,0.0,0.0,0.9821713229356293,0,32,0
2019,1,AL,1,9999,55,9,2019.0,0.0,1801.0,23698.0,0.0,328.425,0.76,0.0,0.0,0.2050687377557907,0,32,0
2019,1,AL,1,9999,55,12,2019.0,0.0,3424.0,23698.0,0.0,328.425,0.55,0.0,0.0,0.1484050075864275,0,32,0
2019,1,AL,3,11,11,2,2019.0,7.5,242.75,2193.25,0.0,13.25,-0.55,0.0307692307692307,0.0034180243819072,-0.1484050075864275,0,11,0
2019,1,AL,3,11,11,2,2019.0,33.0,499.25,4510.75,0.0,27.25,10.49,0.0659670164917541,0.0073142350529173,2.830488235602953,0,11,0
2019,1,AL,3,11,11,4,2019.0,14.0,256.5,2317.5,0.0,14.0,8.66,0.0543689320388349,0.0060383868880741,2.336704301269931,0,11,0
2019,1,AL,3,11,11,1,2019.0,19.0,242.75,2193.25,0.0,13.25,12.42,0.0779487179487179,0.0086589951008317,3.3512548985880533,0,11,0
